Date,ProblemType,ExampleNumber,ErrorMyMethod,ErrorMusserMethod,ErrorMatlabMethod,ErrorMultroots,MeanMethod,Preproc,emin,emax,LowRankMethod,DeconvolutionMethod,TimeMyMethod,TimeMusserMethod,UX_Method
25-May-2016 09:45:12, 	 Roots, 	 Custom:m=8 low=-10 high=10, 	 2.108372e-08, 	 3.979431e-09, 	 2.056381e-11, 	 5.827646e-11, 	 None, 	 n, 	 1.000000e-10, 	 1.000000e-12, 	 Standard STLN, 	 Batch, 	 1.366697e-01, 	 1.261708e-01, 	 From ux 
25-May-2016 09:45:12, 	 Roots, 	 Custom:m=5 low=-10 high=10, 	 5.435082e-09, 	 1.020822e-08, 	 9.589723e-11, 	 9.589785e-11, 	 None, 	 y, 	 1.000000e-09, 	 1.000000e-12, 	 Standard STLN, 	 Batch, 	 4.243660e-01, 	 6.100236e-01, 	 From ux 
25-May-2016 09:45:13, 	 Roots, 	 Custom:m=5 low=-10 high=10, 	 8.033395e-09, 	 4.446573e-08, 	 9.589723e-11, 	 9.589785e-11, 	 None, 	 n, 	 1.000000e-09, 	 1.000000e-12, 	 None, 	 Batch, 	 9.097627e-02, 	 5.808295e-02, 	 From ux 
25-May-2016 09:45:13, 	 Roots, 	 Custom:m=5 low=-10 high=10, 	 2.218377e-08, 	 1.661838e-08, 	 9.589723e-11, 	 9.589785e-11, 	 None, 	 n, 	 1.000000e-09, 	 1.000000e-12, 	 Standard STLN, 	 Batch, 	 8.838993e-02, 	 5.701958e-02, 	 From ux 
25-May-2016 09:45:14, 	 Roots, 	 Custom:m=8 low=-10 high=10, 	 4.290791e-09, 	 1.442293e-07, 	 2.056381e-11, 	 5.827646e-11, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-10, 	 1.000000e-12, 	 None, 	 Batch, 	 8.128717e-01, 	 9.641089e-01, 	 From ux 
25-May-2016 09:45:15, 	 Roots, 	 Custom:m=5 low=-10 high=10, 	 1.384157e-08, 	 1.120980e-08, 	 9.589723e-11, 	 9.589785e-11, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-09, 	 1.000000e-12, 	 None, 	 Batch, 	 4.475819e-01, 	 6.219397e-01, 	 From ux 
25-May-2016 09:45:16, 	 Roots, 	 Custom:m=8 low=-10 high=10, 	 6.078019e-10, 	 5.381620e-09, 	 2.056381e-11, 	 5.827646e-11, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-10, 	 1.000000e-12, 	 Standard STLN, 	 Batch, 	 7.945522e-01, 	 8.891255e-01, 	 From ux 
25-May-2016 09:45:17, 	 Roots, 	 Custom:m=5 low=-10 high=10, 	 5.435400e-09, 	 1.020831e-08, 	 9.589723e-11, 	 9.589785e-11, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-09, 	 1.000000e-12, 	 Standard STLN, 	 Batch, 	 4.998237e-01, 	 5.620718e-01, 	 From ux 
25-May-2016 09:45:17, 	 Roots, 	 Custom:m=8 low=-10 high=10, 	 2.213281e-07, 	 3.416449e-07, 	 2.056381e-11, 	 5.827646e-11, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-10, 	 1.000000e-12, 	 None, 	 Batch, 	 1.176157e-01, 	 1.113038e-01, 	 From ux 
25-May-2016 09:45:17, 	 Roots, 	 Custom:m=5 low=-10 high=10, 	 8.004370e-09, 	 4.446571e-08, 	 9.589723e-11, 	 9.589785e-11, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-09, 	 1.000000e-12, 	 None, 	 Batch, 	 7.455995e-02, 	 4.676346e-02, 	 From ux 
