25-May-2016 09:30:31, 	 GCD, 	 Custom:m=9 n=8 t=3 low=-1 high=5, 	 9, 	 8, 	 Geometric Mean Matlab Method, 	 1.286759e+01, 	 -1.378940e+01, 	 1.243515e+01, 	 -1.132244e+01, 	 y, 	 1, 	 1 
25-May-2016 09:30:31, 	 GCD, 	 Custom:m=9 n=8 t=3 low=-1 high=5, 	 9, 	 8, 	 Geometric Mean Matlab Method, 	 4.845174e+01, 	 -3.982859e+01, 	 2.113371e+01, 	 -2.508576e+01, 	 y, 	 1.931444e+00, 	 1.303654e+00 
25-May-2016 09:30:31, 	 GCD, 	 Custom:m=9 n=8 t=3 low=-1 high=5, 	 9, 	 8, 	 Geometric Mean Matlab Method, 	 1.286759e+01, 	 -1.378940e+01, 	 1.243515e+01, 	 -1.132244e+01, 	 y, 	 1, 	 1 
25-May-2016 09:30:31, 	 GCD, 	 Custom:m=9 n=8 t=3 low=-1 high=5, 	 9, 	 8, 	 Geometric Mean Matlab Method, 	 4.845174e+01, 	 -3.982859e+01, 	 2.113371e+01, 	 -2.508576e+01, 	 y, 	 1.931444e+00, 	 1.303654e+00 
25-May-2016 09:30:31, 	 GCD, 	 Custom:m=7 n=7 t=3 low=-1 high=5, 	 7, 	 7, 	 None, 	 9.271623e+02, 	 -6.692920e+02, 	 1.903177e+03, 	 -2.563371e+03, 	 y, 	 1, 	 1 
25-May-2016 09:30:31, 	 GCD, 	 Custom:m=7 n=7 t=3 low=-1 high=5, 	 7, 	 7, 	 None, 	 4.833649e+03, 	 -4.824619e+03, 	 9.527971e+03, 	 -7.707101e+03, 	 y, 	 5.073114e-01, 	 1.733963e+00 
25-May-2016 09:30:32, 	 GCD, 	 Custom:m=7 n=7 t=3 low=-1 high=5, 	 7, 	 7, 	 None, 	 9.271623e+02, 	 -6.692920e+02, 	 1.903177e+03, 	 -2.563371e+03, 	 y, 	 1, 	 1 
25-May-2016 09:30:32, 	 GCD, 	 Custom:m=7 n=7 t=3 low=-1 high=5, 	 7, 	 7, 	 None, 	 4.833649e+03, 	 -4.824619e+03, 	 9.527971e+03, 	 -7.707101e+03, 	 y, 	 5.073114e-01, 	 1.733963e+00 
25-May-2016 09:30:32, 	 GCD, 	 Custom:m=9 n=8 t=2 low=-1 high=5, 	 9, 	 8, 	 None, 	 6.432969e+02, 	 -6.094777e+02, 	 1.191162e+03, 	 -1.436859e+03, 	 y, 	 1, 	 1 
25-May-2016 09:30:32, 	 GCD, 	 Custom:m=9 n=8 t=2 low=-1 high=5, 	 9, 	 8, 	 None, 	 1.048555e+03, 	 -9.009522e+02, 	 1.545905e+03, 	 -1.926292e+03, 	 y, 	 5.443388e-01, 	 1.102646e+00 
25-May-2016 09:30:32, 	 GCD, 	 Custom:m=9 n=8 t=2 low=-1 high=5, 	 9, 	 8, 	 None, 	 6.432969e+02, 	 -6.094777e+02, 	 1.191162e+03, 	 -1.436859e+03, 	 y, 	 1, 	 1 
25-May-2016 09:30:32, 	 GCD, 	 Custom:m=7 n=7 t=3 low=-1 high=5, 	 7, 	 7, 	 Geometric Mean Matlab Method, 	 1.017576e+01, 	 -7.345588e+00, 	 7.746154e+00, 	 -1.043322e+01, 	 y, 	 1, 	 1 
25-May-2016 09:30:32, 	 GCD, 	 Custom:m=9 n=8 t=2 low=-1 high=5, 	 9, 	 8, 	 None, 	 1.048555e+03, 	 -9.009522e+02, 	 1.545905e+03, 	 -1.926292e+03, 	 y, 	 5.443388e-01, 	 1.102646e+00 
25-May-2016 09:30:32, 	 GCD, 	 Custom:m=7 n=7 t=3 low=-1 high=5, 	 7, 	 7, 	 Geometric Mean Matlab Method, 	 5.305008e+01, 	 -5.295098e+01, 	 3.877996e+01, 	 -3.136881e+01, 	 y, 	 1.367976e+00, 	 1.733963e+00 
25-May-2016 09:30:32, 	 GCD, 	 Custom:m=7 n=7 t=3 low=-1 high=5, 	 7, 	 7, 	 Geometric Mean Matlab Method, 	 1.017576e+01, 	 -7.345588e+00, 	 7.746154e+00, 	 -1.043322e+01, 	 y, 	 1, 	 1 
25-May-2016 09:30:32, 	 GCD, 	 Custom:m=7 n=7 t=3 low=-1 high=5, 	 7, 	 7, 	 Geometric Mean Matlab Method, 	 5.305008e+01, 	 -5.295098e+01, 	 3.877996e+01, 	 -3.136881e+01, 	 y, 	 1.367976e+00, 	 1.733963e+00 
25-May-2016 09:30:33, 	 GCD, 	 Custom:m=9 n=8 t=2 low=-1 high=5, 	 9, 	 8, 	 Geometric Mean Matlab Method, 	 1.198971e+01, 	 -1.135939e+01, 	 7.098305e+00, 	 -8.562450e+00, 	 y, 	 1, 	 1 
25-May-2016 09:30:33, 	 GCD, 	 Custom:m=9 n=8 t=2 low=-1 high=5, 	 9, 	 8, 	 Geometric Mean Matlab Method, 	 1.954288e+01, 	 -1.679187e+01, 	 9.212271e+00, 	 -1.147905e+01, 	 y, 	 1.702482e+00, 	 1.102646e+00 
25-May-2016 09:30:33, 	 GCD, 	 Custom:m=7 n=7 t=2 low=-1 high=5, 	 7, 	 7, 	 None, 	 1.950859e+02, 	 -1.964045e+02, 	 9.311292e+02, 	 -1.128460e+03, 	 y, 	 1, 	 1 
25-May-2016 09:30:33, 	 GCD, 	 Custom:m=7 n=7 t=2 low=-1 high=5, 	 7, 	 7, 	 None, 	 4.456012e+02, 	 -5.908069e+02, 	 2.126819e+03, 	 -1.957191e+03, 	 y, 	 2.777890e-01, 	 1.316963e+00 
25-May-2016 09:30:33, 	 GCD, 	 Custom:m=9 n=8 t=2 low=-1 high=5, 	 9, 	 8, 	 Geometric Mean Matlab Method, 	 1.198971e+01, 	 -1.135939e+01, 	 7.098305e+00, 	 -8.562450e+00, 	 y, 	 1, 	 1 
25-May-2016 09:30:33, 	 GCD, 	 Custom:m=9 n=8 t=2 low=-1 high=5, 	 9, 	 8, 	 Geometric Mean Matlab Method, 	 1.954288e+01, 	 -1.679187e+01, 	 9.212271e+00, 	 -1.147905e+01, 	 y, 	 1.702482e+00, 	 1.102646e+00 
25-May-2016 09:30:33, 	 GCD, 	 Custom:m=7 n=7 t=2 low=-1 high=5, 	 7, 	 7, 	 None, 	 1.950859e+02, 	 -1.964045e+02, 	 9.311292e+02, 	 -1.128460e+03, 	 y, 	 1, 	 1 
25-May-2016 09:30:33, 	 GCD, 	 Custom:m=7 n=7 t=2 low=-1 high=5, 	 7, 	 7, 	 None, 	 4.456012e+02, 	 -5.908069e+02, 	 2.126819e+03, 	 -1.957191e+03, 	 y, 	 2.777890e-01, 	 1.316963e+00 
25-May-2016 09:30:34, 	 GCD, 	 Custom:m=9 n=8 t=1 low=-1 high=5, 	 9, 	 8, 	 None, 	 3.502364e+03, 	 -2.910913e+03, 	 1.216256e+03, 	 -1.385219e+03, 	 y, 	 1, 	 1 
25-May-2016 09:30:34, 	 GCD, 	 Custom:m=9 n=8 t=1 low=-1 high=5, 	 9, 	 8, 	 None, 	 3.308244e+04, 	 -3.288126e+04, 	 1.089353e+04, 	 -8.677948e+03, 	 y, 	 2.446777e+00, 	 1.833284e+00 
25-May-2016 09:30:34, 	 GCD, 	 Custom:m=7 n=7 t=2 low=-1 high=5, 	 7, 	 7, 	 Geometric Mean Matlab Method, 	 7.638618e+00, 	 -7.690250e+00, 	 6.675375e+00, 	 -8.090062e+00, 	 y, 	 1, 	 1 
25-May-2016 09:30:34, 	 GCD, 	 Custom:m=7 n=7 t=2 low=-1 high=5, 	 7, 	 7, 	 Geometric Mean Matlab Method, 	 1.744758e+01, 	 -2.313314e+01, 	 1.524741e+01, 	 -1.403133e+01, 	 y, 	 1.517184e+00, 	 1.316963e+00 
25-May-2016 09:30:34, 	 GCD, 	 Custom:m=9 n=8 t=1 low=-1 high=5, 	 9, 	 8, 	 None, 	 3.502364e+03, 	 -2.910913e+03, 	 1.216256e+03, 	 -1.385219e+03, 	 y, 	 1, 	 1 
