date,type,example_num,m,n,t,error,mean method, preproc, noise low, noise high, low rank method
25-May-2016 12:26:48, 	 GCD, 	 Custom:m=7 n=7 t=3 low=-1 high=5, 	 7, 	 7, 	     3, 	 3.151725e-11, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:48, 	 GCD, 	 Custom:m=9 n=8 t=3 low=-1 high=5, 	 9, 	 8, 	     3, 	 9.999252e-11, 	 None, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
25-May-2016 12:26:48, 	 GCD, 	 Custom:m=7 n=7 t=3 low=-1 high=5, 	 7, 	 7, 	     3, 	 2.801857e-11, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
25-May-2016 12:26:48, 	 GCD, 	 Custom:m=9 n=8 t=3 low=-1 high=5, 	 9, 	 8, 	     3, 	 8.034430e-11, 	 None, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:48, 	 GCD, 	 Custom:m=9 n=8 t=2 low=-1 high=5, 	 9, 	 8, 	     2, 	 2.274806e-09, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
25-May-2016 12:26:48, 	 GCD, 	 Custom:m=7 n=7 t=3 low=-1 high=5, 	 7, 	 7, 	     3, 	 2.745832e-11, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:48, 	 GCD, 	 Custom:m=9 n=8 t=2 low=-1 high=5, 	 9, 	 8, 	     2, 	 2.274806e-09, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:49, 	 GCD, 	 Custom:m=7 n=7 t=3 low=-1 high=5, 	 7, 	 7, 	     3, 	 4.302421e-11, 	 None, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
25-May-2016 12:26:49, 	 GCD, 	 Custom:m=7 n=7 t=3 low=-1 high=5, 	 7, 	 7, 	     3, 	 3.142223e-11, 	 None, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:49, 	 GCD, 	 Custom:m=9 n=8 t=2 low=-1 high=5, 	 9, 	 8, 	     2, 	 1.136047e-09, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
25-May-2016 12:26:49, 	 GCD, 	 Custom:m=9 n=8 t=2 low=-1 high=5, 	 9, 	 8, 	     2, 	 1.136047e-09, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:49, 	 GCD, 	 Custom:m=7 n=7 t=3 low=-1 high=5, 	 7, 	 7, 	     3, 	 3.590359e-11, 	 None, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
25-May-2016 12:26:50, 	 GCD, 	 Custom:m=9 n=8 t=2 low=-1 high=5, 	 9, 	 8, 	     2, 	 2.659487e-09, 	 None, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
25-May-2016 12:26:50, 	 GCD, 	 Custom:m=9 n=8 t=2 low=-1 high=5, 	 9, 	 8, 	     2, 	 2.659487e-09, 	 None, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:50, 	 GCD, 	 Custom:m=7 n=7 t=3 low=-1 high=5, 	 7, 	 7, 	     3, 	 2.804628e-11, 	 None, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:50, 	 GCD, 	 Custom:m=7 n=7 t=2 low=-1 high=5, 	 7, 	 7, 	     2, 	 2.834297e-11, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
25-May-2016 12:26:50, 	 GCD, 	 Custom:m=9 n=8 t=2 low=-1 high=5, 	 9, 	 8, 	     2, 	 1.848511e-09, 	 None, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
25-May-2016 12:26:50, 	 GCD, 	 Custom:m=7 n=7 t=2 low=-1 high=5, 	 7, 	 7, 	     2, 	 2.834297e-11, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:51, 	 GCD, 	 Custom:m=9 n=8 t=2 low=-1 high=5, 	 9, 	 8, 	     2, 	 1.848511e-09, 	 None, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:51, 	 GCD, 	 Custom:m=7 n=7 t=2 low=-1 high=5, 	 7, 	 7, 	     2, 	 2.933590e-11, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
