date,type,example_num,m,n,t,error,mean method, preproc, noise low, noise high, low rank method
14-Nov-2016 17:10:51, 	 GCD, 	 3, 	 21, 	 20, 	    17, 	 9.999999e+06, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-10, 	 1.000000e-12, 	 Standard STLN 
14-Nov-2016 17:11:02, 	 GCD, 	 3, 	 21, 	 20, 	    17, 	 9.999999e+06, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-10, 	 1.000000e-12, 	 Standard SNTLN 
14-Nov-2016 17:11:14, 	 GCD, 	 3, 	 21, 	 20, 	    17, 	 9.999999e+06, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-10, 	 1.000000e-12, 	 None 
14-Nov-2016 17:11:21, 	 GCD, 	 3, 	 21, 	 20, 	    15, 	 9.999999e+06, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-10, 	 1.000000e-12, 	 Standard STLN 
14-Nov-2016 17:11:28, 	 GCD, 	 3, 	 21, 	 20, 	    15, 	 9.999999e+06, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-10, 	 1.000000e-12, 	 Standard SNTLN 
14-Nov-2016 17:11:34, 	 GCD, 	 3, 	 21, 	 20, 	    15, 	 9.999999e+06, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-10, 	 1.000000e-12, 	 None 
14-Nov-2016 17:11:42, 	 GCD, 	 3, 	 21, 	 20, 	    17, 	 9.999999e+06, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
14-Nov-2016 17:11:50, 	 GCD, 	 3, 	 21, 	 20, 	    17, 	 9.999999e+06, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 Standard SNTLN 
14-Nov-2016 17:11:57, 	 GCD, 	 3, 	 21, 	 20, 	    17, 	 9.999999e+06, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 None 
14-Nov-2016 17:12:04, 	 GCD, 	 3, 	 21, 	 20, 	    15, 	 9.999999e+06, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
14-Nov-2016 17:12:10, 	 GCD, 	 3, 	 21, 	 20, 	    15, 	 9.999999e+06, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 Standard SNTLN 
14-Nov-2016 17:12:17, 	 GCD, 	 3, 	 21, 	 20, 	    15, 	 9.999999e+06, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 None 
14-Nov-2016 17:13:57, 	 GCD, 	 3, 	 21, 	 20, 	    17, 	 9.999999e+06, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-08, 	 1.000000e-12, 	 Standard STLN 
